"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"71","Castro","Índice Ipardes de Desempenho Municipal (IPDM)",0.6178,0.6274,0.6508,0.6499,0.6588,0.6565,0.6558,0.6666,0.6774
"72","Catanduvas","Índice Ipardes de Desempenho Municipal (IPDM)",0.6284,0.588,0.5645,0.6201,0.5938,0.6189,0.6231,0.6453,0.6365
"73","Centenário do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5136,0.5672,0.5642,0.6141,0.6175,0.6208,0.6463,0.6937,0.7056
"74","Cerro Azul","Índice Ipardes de Desempenho Municipal (IPDM)",0.328,0.3424,0.371,0.4294,0.436,0.4755,0.4514,0.5322,0.5382
"75","Céu Azul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6948,0.6816,0.6775,0.6964,0.7056,0.7039,0.7126,0.771,0.74
"76","Chopinzinho","Índice Ipardes de Desempenho Municipal (IPDM)",0.6268,0.6114,0.654,0.7306,0.7298,0.7021,0.7007,0.7461,0.748
"77","Cianorte","Índice Ipardes de Desempenho Municipal (IPDM)",0.7211,0.7389,0.7482,0.7572,0.7712,0.7597,0.7693,0.7907,0.7856
"78","Cidade Gaúcha","Índice Ipardes de Desempenho Municipal (IPDM)",0.6294,0.6589,0.6675,0.6649,0.6607,0.6585,0.686,0.7159,0.7037
"79","Clevelândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.4843,0.4928,0.4862,0.4853,0.482,0.5046,0.5434,0.5431,0.5792
"80","Colombo","Índice Ipardes de Desempenho Municipal (IPDM)",0.5425,0.5577,0.5584,0.5923,0.6307,0.6616,0.6721,0.6805,0.679
"81","Colorado","Índice Ipardes de Desempenho Municipal (IPDM)",0.72,0.7272,0.7242,0.7192,0.7054,0.7045,0.7101,0.7311,0.7211
"82","Congonhinhas","Índice Ipardes de Desempenho Municipal (IPDM)",0.5839,0.5292,0.5164,0.5529,0.5812,0.6122,0.5884,0.568,0.5901
"83","Conselheiro Mairinck","Índice Ipardes de Desempenho Municipal (IPDM)",0.5229,0.5895,0.6266,0.6056,0.5911,0.6029,0.628,0.6344,0.6639
"84","Contenda","Índice Ipardes de Desempenho Municipal (IPDM)",0.5407,0.5384,0.5391,0.6084,0.6431,0.6545,0.6625,0.6937,0.6746
"85","Corbélia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6743,0.6727,0.6859,0.7214,0.7288,0.7007,0.6897,0.745,0.7564
"86","Cornélio Procópio","Índice Ipardes de Desempenho Municipal (IPDM)",0.6731,0.705,0.7012,0.7253,0.7287,0.7197,0.7262,0.7399,0.7423
"87","Coronel Domingos Soares","Índice Ipardes de Desempenho Municipal (IPDM)",0.4906,0.5878,0.5184,0.5105,0.514,0.5341,0.5826,0.6198,0.6388
"88","Coronel Vivida","Índice Ipardes de Desempenho Municipal (IPDM)",0.6038,0.6454,0.667,0.6932,0.7018,0.7245,0.7341,0.7452,0.753
"89","Corumbataí do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5031,0.5472,0.4967,0.5412,0.552,0.5573,0.5189,0.633,0.6771
"90","Cruz Machado","Índice Ipardes de Desempenho Municipal (IPDM)",0.5438,0.5692,0.5793,0.5696,0.6029,0.6151,0.645,0.6763,0.6771
"91","Cruzeiro do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6443,0.6766,0.6164,0.6429,0.6206,0.6745,0.6609,0.7307,0.7368
"92","Cruzeiro do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.6155,0.6691,0.68,0.6724,0.6666,0.6507,0.6662,0.708,0.7236
"93","Cruzeiro do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6291,0.6609,0.6764,0.7026,0.6858,0.6436,0.6184,0.6524,0.6938
"94","Cruzmaltina","Índice Ipardes de Desempenho Municipal (IPDM)",0.5312,0.6209,0.6245,0.5898,0.5849,0.6059,0.6454,0.7018,0.7164
"95","Curitiba","Índice Ipardes de Desempenho Municipal (IPDM)",0.8244,0.8401,0.8375,0.8433,0.8492,0.8617,0.8654,0.8656,0.8728
"96","Curiúva","Índice Ipardes de Desempenho Municipal (IPDM)",0.4155,0.4762,0.4455,0.4965,0.5548,0.5395,0.549,0.6088,0.6271
"97","Diamante do Norte","Índice Ipardes de Desempenho Municipal (IPDM)",0.6083,0.6167,0.604,0.6526,0.6661,0.6872,0.673,0.7083,0.7234
"98","Diamante do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.4672,0.5354,0.4921,0.5094,0.5421,0.5888,0.6435,0.6473,0.6623
"99","Diamante D'Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5374,0.5696,0.5585,0.6012,0.6137,0.6297,0.6419,0.6531,0.6699
"100","Dois Vizinhos","Índice Ipardes de Desempenho Municipal (IPDM)",0.7134,0.7387,0.6956,0.7417,0.7322,0.7379,0.7524,0.8253,0.802
"101","Douradina","Índice Ipardes de Desempenho Municipal (IPDM)",0.7401,0.7916,0.7894,0.7898,0.7854,0.7672,0.755,0.7761,0.8049
"102","Doutor Camargo","Índice Ipardes de Desempenho Municipal (IPDM)",0.6728,0.6681,0.6554,0.6511,0.6698,0.7236,0.7064,0.7412,0.7538
"103","Doutor Ulysses","Índice Ipardes de Desempenho Municipal (IPDM)",0.3477,0.3971,0.3019,0.393,0.4831,0.539,0.5327,0.5912,0.6039
"104","Enéas Marques","Índice Ipardes de Desempenho Municipal (IPDM)",0.6762,0.7005,0.6505,0.6627,0.6741,0.7084,0.6988,0.7125,0.7116
"105","Engenheiro Beltrão","Índice Ipardes de Desempenho Municipal (IPDM)",0.6719,0.7221,0.6827,0.6539,0.6529,0.6934,0.696,0.7351,0.7453
"106","Entre Rios do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.7312,0.7534,0.7487,0.7592,0.786,0.7567,0.7454,0.778,0.7424
"107","Esperança Nova","Índice Ipardes de Desempenho Municipal (IPDM)",0.6291,0.6532,0.6616,0.7434,0.7408,0.632,0.6363,0.7287,0.7605
"108","Espigão Alto do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.4653,0.494,0.4543,0.5197,0.5314,0.5865,0.5694,0.6116,0.6574
"109","Farol","Índice Ipardes de Desempenho Municipal (IPDM)",0.6701,0.6783,0.6571,0.6887,0.6699,0.6811,0.6747,0.7211,0.6525
"110","Faxinal","Índice Ipardes de Desempenho Municipal (IPDM)",0.5312,0.5705,0.5492,0.556,0.5631,0.6129,0.6537,0.6772,0.6816
"111","Fazenda Rio Grande","Índice Ipardes de Desempenho Municipal (IPDM)",0.5289,0.5757,0.5711,0.6164,0.6445,0.6755,0.6957,0.708,0.7222
