code;variable;population;year;gender;level;group
4101408;5 a 9;4468;2020;man;2;younger
4101408;10 a 14;4410;2020;man;3;younger
4101408;15 a 19;4616;2020;man;4;worker
4101408;20 a 24;5005;2020;man;5;worker
4101408;25 a 29;5288;2020;man;6;worker
4101408;30 a 34;5204;2020;man;7;worker
4101408;35 a 39;5012;2020;man;8;worker
4101408;40 a 44;4814;2020;man;9;worker
4101408;45 a 49;4215;2020;man;10;worker
4101408;50 a 54;4315;2020;man;11;worker
4101408;55 a 59;3642;2020;man;12;worker
4101408;60 a 64;3080;2020;man;13;worker
4101408;> 65;6870;2020;man;14;older
4101507;0 a 4;4174;2020;man;1;younger
4101507;5 a 9;4118;2020;man;2;younger
4101507;10 a 14;4264;2020;man;3;younger
4101507;15 a 19;4315;2020;man;4;worker
4101507;20 a 24;5094;2020;man;5;worker
4101507;25 a 29;4750;2020;man;6;worker
4101507;30 a 34;5047;2020;man;7;worker
4101507;35 a 39;4969;2020;man;8;worker
4101507;40 a 44;4626;2020;man;9;worker
4101507;45 a 49;4254;2020;man;10;worker
4101507;50 a 54;3985;2020;man;11;worker
4101507;55 a 59;3343;2020;man;12;worker
4101507;60 a 64;2763;2020;man;13;worker
4101507;> 65;5887;2020;man;14;older
4101606;0 a 4;1151;2020;man;1;younger
4101606;5 a 9;1091;2020;man;2;younger
4101606;10 a 14;1006;2020;man;3;younger
4101606;15 a 19;1034;2020;man;4;worker
4101606;20 a 24;1221;2020;man;5;worker
4101606;25 a 29;1243;2020;man;6;worker
4101606;30 a 34;980;2020;man;7;worker
4101606;35 a 39;984;2020;man;8;worker
4101606;40 a 44;971;2020;man;9;worker
4101606;45 a 49;899;2020;man;10;worker
4101606;50 a 54;859;2020;man;11;worker
4101606;55 a 59;813;2020;man;12;worker
4101606;60 a 64;606;2020;man;13;worker
4101606;> 65;1196;2020;man;14;older
4101655;0 a 4;104;2020;man;1;younger
4101655;5 a 9;106;2020;man;2;younger
4101655;10 a 14;87;2020;man;3;younger
4101655;15 a 19;82;2020;man;4;worker
4101655;20 a 24;110;2020;man;5;worker
4101655;25 a 29;139;2020;man;6;worker
4101655;30 a 34;114;2020;man;7;worker
4101655;35 a 39;107;2020;man;8;worker
4101655;40 a 44;123;2020;man;9;worker
4101655;45 a 49;102;2020;man;10;worker
4101655;50 a 54;136;2020;man;11;worker
4101655;55 a 59;110;2020;man;12;worker
4101655;60 a 64;98;2020;man;13;worker
4101655;> 65;324;2020;man;14;older
4101705;0 a 4;426;2020;man;1;younger
4101705;5 a 9;434;2020;man;2;younger
4101705;10 a 14;448;2020;man;3;younger
4101705;15 a 19;447;2020;man;4;worker
4101705;20 a 24;563;2020;man;5;worker
4101705;25 a 29;559;2020;man;6;worker
4101705;30 a 34;550;2020;man;7;worker
4101705;35 a 39;453;2020;man;8;worker
4101705;40 a 44;488;2020;man;9;worker
4101705;45 a 49;488;2020;man;10;worker
4101705;50 a 54;515;2020;man;11;worker
4101705;55 a 59;430;2020;man;12;worker
4101705;60 a 64;348;2020;man;13;worker
4101705;> 65;806;2020;man;14;older
4101804;0 a 4;5878;2020;man;1;younger
4101804;5 a 9;5566;2020;man;2;younger
4101804;10 a 14;5543;2020;man;3;younger
4101804;15 a 19;6170;2020;man;4;worker
4101804;20 a 24;7118;2020;man;5;worker
4101804;25 a 29;6680;2020;man;6;worker
